from_id,GEOID,travel_time_minutes,site_id,site_name
yankee_stadium,36047033701,58.0,yankee_stadium,Yankee Stadium
yankee_stadium,36047033702,59.0,yankee_stadium,Yankee Stadium
yankee_stadium,36047088001,67.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081018401,84.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081018700,57.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081018402,84.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081018600,84.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081018800,85.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081026902,57.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081019200,81.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081030903,59.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081019600,80.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081018900,54.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081019000,79.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081020400,71.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081020600,75.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081020800,64.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081021200,70.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081021400,70.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081021900,76.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081022001,73.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081022900,73.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081023000,79.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081043701,73.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081061302,76.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081071306,69.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081077906,71.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081057900,74.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081058000,110.0,yankee_stadium,Yankee Stadium
