from_id,GEOID,travel_time_minutes,site_id,site_label,site_name
NWMW84L5lz,36081006100,81.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081030904,94.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081043702,97.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081044301,91.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081036500,91.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081036600,103.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081035800,103.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081036700,97.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081036800,103.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081065401,98.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081065402,106.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081037100,98.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081037300,91.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081037600,107.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081038100,85.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081007700,82.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081008600,98.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081008700,88.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081008800,103.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081007900,86.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081008100,85.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081008300,87.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081009100,91.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081009400,100.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081009500,87.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081009600,103.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081009800,98.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081009900,95.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081034700,96.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081035200,103.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081035300,91.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081026501,74.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081037502,83.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081089202,116.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081027301,80.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081000104,72.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081027101,81.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081040702,85.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081040302,82.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081040102,82.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081027302,84.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081040902,81.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081043900,94.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081044000,96.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081044601,87.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081007500,82.0,NWMW84L5lz,current,Sports Illustrated Stadium
