GEOID,population,median_household_income,median_age,pct_white_nh,pct_black_nh,pct_asian_nh,pct_hispanic_latino,transit_time_current,transit_time_future,delta_transit_time,cluster,cluster_name,weight_current,weight_future,weighted_pop_current,weighted_pop_future
36005015500,3154,42118.0,38.1,1.2999365884590997,28.535193405199745,0.34876347495244137,68.80152187698161,89.0,70.0,-19.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.1279217364995969,0.19842513149602495,403.4651569197286,625.8328647384627
36005015700,5959,45731.0,35.6,0.5370028528276557,41.701627789897636,0.3859708004698775,48.665883537506296,94.0,73.0,-21.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.1139653110697771,0.18513719403582055,679.1192886648017,1103.2325392594546
36005015800,1625,81000.0,42.5,39.38461538461539,5.907692307692308,6.092307692307692,48.61538461538461,105.0,70.0,-35.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.08838834764831845,0.19842513149602495,143.63106492851747,322.44083868104053
36005015900,2153,24654.0,30.0,0.5109150023223409,11.751045053413842,2.1830004644681837,85.55503947979564,85.0,66.0,-19.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.14030775603867163,0.21763764082403103,302.08259875126004,468.5738406941388
36005016100,4789,23466.0,39.1,3.403633326372938,29.98538316976404,0.0,64.96136980580496,89.0,69.0,-20.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.1279217364995969,0.2030630990890589,612.6171960965695,972.469181537503
36005016200,1802,102361.0,37.0,30.355160932297448,7.32519422863485,9.489456159822419,48.6126526082131,105.0,66.0,-39.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.08838834764831845,0.21763764082403103,159.27580246226984,392.1830287649039
36005016400,1107,95781.0,46.8,36.133694670280036,4.968383017163505,30.89430894308943,25.745257452574524,109.0,65.0,-44.0,0,"higher-income, asian_nh-plurality, closer reach",0.0805856442774737,0.22272467953508487,89.20830821516338,246.55622024533895
36005016500,1233,59000.0,33.2,0.40551500405515006,59.529602595296026,0.0,36.496350364963504,101.0,79.0,-22.0,1,"lower-income, black_nh-plurality, farther reach",0.09694654761460844,0.16117128855494742,119.53509320881221,198.72419878825016
36005016600,2387,107344.0,39.5,21.826560536237956,13.699204021784666,5.278592375366569,54.461667364893174,105.0,61.0,-44.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.08838834764831845,0.2442899921085615,210.98298583653613,583.1202111631363
36005016700,3203,36181.0,34.7,0.4370902279113331,42.36653137683422,0.0,54.85482360287231,97.0,79.0,-18.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.10633339511885696,0.16117128855494742,340.58586456569884,516.2316372414966
36005016900,1759,47610.0,31.5,1.250710631040364,43.37691870380898,0.0,48.8345650938033,97.0,78.0,-19.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.10633339511885696,0.16493848884661183,187.04044201406938,290.1268018811902
36005017701,4566,46070.0,40.1,2.431011826544021,44.918966272448536,1.5330705212439772,51.11695137976347,91.0,72.0,-19.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.12214499605428075,0.1894645708137998,557.7140519838459,865.0952303358099
36005017702,5236,38897.0,31.9,0.8212375859434683,48.07104660045837,3.170359052711994,39.99236058059587,91.0,72.0,-19.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.12214499605428075,0.1894645708137998,639.551199340214,992.0364927810558
36005017901,4993,45292.0,35.3,1.3619066693370718,23.793310634888844,4.406168636090527,69.23693170438614,86.0,67.0,-19.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.13710312246182826,0.21266679023771395,684.5558904519086,1061.8452836569058
36005017902,3571,46230.0,29.4,2.1842621114533745,37.72052646317558,0.0,60.09521142537105,88.0,68.0,-20.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.13091176535257834,0.20780947403569697,467.48591407405723,742.0876317814739
36005018101,3345,55400.0,29.0,1.883408071748879,36.80119581464873,0.059790732436472344,59.521674140508225,87.0,68.0,-19.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.13397168281703667,0.20780947403569697,448.1352790229877,695.1226906494063
36005018102,4903,36334.0,46.4,2.141545992249643,39.282072200693456,0.12237405669997961,56.026922292474,85.0,67.0,-18.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.14030775603867163,0.21266679023771395,687.9289278576069,1042.7052725355115
36005018301,4427,54226.0,45.1,14.524508696634289,30.133273096905352,2.7558165800768015,46.4874632934267,85.0,64.0,-21.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.14030775603867163,0.22793062213955423,621.1424359831993,1009.0488642118065
36005018302,3301,65196.0,36.6,0.030293850348379277,39.74553165707361,0.030293850348379277,59.16388973038473,87.0,66.0,-21.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.13397168281703667,0.21763764082403103,442.24052497903807,718.4218523601264
36005018400,3994,101705.0,37.3,39.65948923385078,1.7025538307461192,17.601402103154733,38.30746119178768,116.0,68.0,-48.0,0,"higher-income, asian_nh-plurality, closer reach",0.06855156123091415,0.20780947403569697,273.79493555627107,829.9910392985737
36005018502,6658,32656.0,32.2,0.9462300991288676,30.12916791829378,0.0,59.237008110543705,92.0,71.0,-21.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.1193552004888021,0.19389309522921686,794.6669248544445,1290.9402280361257
36005018900,8375,48054.0,31.0,5.205970149253731,28.202985074626866,0.5970149253731343,63.1044776119403,88.0,66.0,-22.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.13091176535257834,0.21763764082403103,1096.3860348278436,1822.7152419012598
36005019300,5751,41268.0,36.6,4.7991653625456445,45.81811858807164,0.0,48.07859502695183,93.0,70.0,-23.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.11662912394210094,0.19842513149602495,670.7340917910225,1141.1429312336395
36005019500,7286,37374.0,33.5,6.629151797968707,40.804282185012354,0.7685973099094153,49.13532802635191,85.0,64.0,-21.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.14030775603867163,0.22793062213955423,1022.2823104977615,1660.7025129087922
36005019700,7478,24383.0,31.1,0.1470981545867879,14.281893554426317,2.1529820807702595,79.31265044129447,84.0,61.0,-23.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.14358729437462942,0.2442899921085615,1073.7457873334788,1826.800560987823
36005019900,7300,31228.0,37.1,0.2876712328767123,34.534246575342465,0.0,62.58904109589041,89.0,65.0,-24.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.1279217364995969,0.22272467953508487,933.8286764470573,1625.8901606061195
36005020000,4925,47161.0,33.7,2.4771573604060912,7.3908629441624365,29.868020304568528,55.12690355329949,109.0,70.0,-39.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.0805856442774737,0.19842513149602495,396.88429806655796,977.2437726179229
36005020100,3950,36218.0,33.8,4.2784810126582276,26.27848101265823,0.45569620253164556,68.70886075949367,92.0,72.0,-20.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.1193552004888021,0.1894645708137998,471.45304193076834,748.3850547145092
36005020200,2597,52061.0,37.6,3.5810550635348477,9.54948016942626,14.863303812090875,71.3130535232961,107.0,67.0,-40.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.08439687163551189,0.21266679023771395,219.1786756374244,552.2956542473431
36005020400,2966,60504.0,30.9,4.11328388401888,8.125421443020903,13.58732299393122,67.83546864463925,111.0,69.0,-42.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.07694652583405728,0.2030630990890589,228.2233956238139,602.2851518981487
36005020501,7319,20821.0,33.6,1.270665391446919,22.77633556496789,0.4782074053832491,74.19046317802979,95.0,78.0,-17.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.11136233976754245,0.16493848884661183,815.0609647586432,1207.184799868352
36005020502,2401,41125.0,36.4,1.5826738858808829,26.98875468554769,0.9995835068721366,68.47147022074135,100.0,77.0,-23.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.09921256574801247,0.16879374327102378,238.20937036097794,405.2737775937281
